well,row,col,X_mm,Y_mm,SX_pulse,Y1_pulse
A1,A,1,5.5,5.5,6760.000000000002,20930.0
A2,A,2,14.5,5.5,9010.000000000004,23555.0
A3,A,3,23.5,5.5,11260.000000000004,26180.0
A4,A,4,32.5,5.5,13510.000000000004,28805.0
A5,A,5,41.5,5.5,15760.000000000004,31429.999999999996
A6,A,6,50.5,5.5,18010.000000000007,34055.0
A7,A,7,59.5,5.5,20260.000000000007,36680.0
A8,A,8,68.5,5.5,22510.000000000007,39305.0
A9,A,9,77.5,5.5,24760.000000000007,41930.0
A10,A,10,86.5,5.5,27010.000000000007,44555.0
A11,A,11,95.5,5.5,29260.000000000007,47180.0
A12,A,12,104.5,5.5,31510.000000000007,49805.0
B1,B,1,5.5,14.5,6760.000000000002,23179.999999999993
B2,B,2,14.5,14.5,9010.000000000004,25804.999999999993
B3,B,3,23.5,14.5,11260.000000000004,28429.999999999993
B4,B,4,32.5,14.5,13510.000000000004,31054.999999999993
B5,B,5,41.5,14.5,15760.000000000004,33679.99999999999
B6,B,6,50.5,14.5,18010.000000000007,36304.999999999985
B7,B,7,59.5,14.5,20260.000000000007,38929.999999999985
B8,B,8,68.5,14.5,22510.000000000007,41554.999999999985
B9,B,9,77.5,14.5,24760.000000000007,44179.999999999985
B10,B,10,86.5,14.5,27010.000000000007,46804.999999999985
B11,B,11,95.5,14.5,29260.000000000007,49429.999999999985
B12,B,12,104.5,14.5,31510.000000000007,52054.999999999985
C1,C,1,5.5,23.5,6760.000000000002,25429.999999999985
C2,C,2,14.5,23.5,9010.000000000004,28054.999999999985
C3,C,3,23.5,23.5,11260.000000000004,30679.999999999985
C4,C,4,32.5,23.5,13510.000000000004,33304.999999999985
C5,C,5,41.5,23.5,15760.000000000004,35929.999999999985
C6,C,6,50.5,23.5,18010.000000000007,38554.999999999985
C7,C,7,59.5,23.5,20260.000000000007,41179.999999999985
C8,C,8,68.5,23.5,22510.000000000007,43804.999999999985
C9,C,9,77.5,23.5,24760.000000000007,46429.999999999985
C10,C,10,86.5,23.5,27010.000000000007,49054.999999999985
C11,C,11,95.5,23.5,29260.000000000007,51679.999999999985
C12,C,12,104.5,23.5,31510.000000000007,54304.999999999985
D1,D,1,5.5,32.5,6760.000000000002,27679.999999999978
D2,D,2,14.5,32.5,9010.000000000004,30304.999999999978
D3,D,3,23.5,32.5,11260.000000000004,32929.99999999998
D4,D,4,32.5,32.5,13510.000000000004,35554.99999999998
D5,D,5,41.5,32.5,15760.000000000004,38179.99999999998
D6,D,6,50.5,32.5,18010.000000000007,40804.99999999998
D7,D,7,59.5,32.5,20260.000000000007,43429.99999999998
